"runId","scenario","repetition","sequence","status","failureMessage","startedAt","endedAt","durationSeconds","rate","sentEvents","failedEvents","droppedIterations","apiP50Ms","apiP95Ms","apiP99Ms","apiMaxMs","counterPath","counterP95Ms","fallbackCount","threshold","windowSeconds","cooldownSeconds","cooldownEnabled","alertQueued","alertAttempts","alertSent","alertFailed","alertSuppressed","thresholdToAlertMs","indexMode","explainPath","environmentPath"
"stage5-redis-cooldown-on-run-1-20260913-150257","redis-cooldown-on","1","1","SUCCESS","","2026-09-13T15:03:37.6648654+09:00","2026-09-13T15:04:09.0638140+09:00","30","100","3001","0","0","3.257","5.99","46.556","75.954","REDIS","0.973","0","100","60","60","True","1","1","1","0","2902","16.99","ON","","results/environment.json"
"stage5-redis-cooldown-off-run-1-20260913-150257","redis-cooldown-off","1","2","SUCCESS","","2026-09-13T15:04:32.8153809+09:00","2026-09-13T15:05:04.2591288+09:00","30","100","3001","0","0","4.066","31.665","64.576","88.64","REDIS","0.977","0","100","60","60","False","2902","2902","2902","0","0","11.344","ON","","results/environment.json"
"stage5-db-fallback-index-on-run-1-20260913-150257","db-fallback-index-on","1","3","SUCCESS","","2026-09-13T15:05:28.0700942+09:00","2026-09-13T15:05:59.4996723+09:00","30","100","2852","0","148","5.63","3562.444","3890.711","4739.275","DB_FALLBACK","3479.875","2852","100","60","60","True","1","1","1","0","2752","17.013","ON","results/explain/fallback-index-on.json","results/environment.json"
"stage5-db-fallback-index-off-run-1-20260913-150257","db-fallback-index-off","1","4","SUCCESS","","2026-09-13T15:06:23.2563117+09:00","2026-09-13T15:06:54.7280808+09:00","30","100","2850","0","151","5.558","3633.166","3932.894","4522.574","DB_FALLBACK","3535.655","2850","100","60","60","True","1","1","1","0","2750","63.603","OFF","results/explain/fallback-index-off.json","results/environment.json"
"stage5-db-fallback-index-off-run-2-20260913-150257","db-fallback-index-off","2","5","SUCCESS","","2026-09-13T15:07:18.5578430+09:00","2026-09-13T15:07:50.0201062+09:00","30","100","2853","0","148","5.745","3540.056","3899.989","4605.388","DB_FALLBACK","3460.532","2853","100","60","60","True","1","1","1","0","2753","17.185","OFF","results/explain/fallback-index-off.json","results/environment.json"
"stage5-db-fallback-index-on-run-2-20260913-150257","db-fallback-index-on","2","6","SUCCESS","","2026-09-13T15:08:13.4741373+09:00","2026-09-13T15:08:44.9934890+09:00","30","100","2851","0","149","6.556","3508.727","3886.967","4572.421","DB_FALLBACK","3455.735","2851","100","60","60","True","1","1","1","0","2751","99.571","ON","results/explain/fallback-index-on.json","results/environment.json"
"stage5-redis-cooldown-off-run-2-20260913-150257","redis-cooldown-off","2","7","SUCCESS","","2026-09-13T15:09:12.8255619+09:00","2026-09-13T15:09:44.3162599+09:00","30","100","3001","0","0","4.196","49.449","73.022","146.881","REDIS","1.107","0","100","60","60","False","2902","2902","2902","0","0","12.236","ON","","results/environment.json"
"stage5-redis-cooldown-on-run-2-20260913-150257","redis-cooldown-on","2","8","SUCCESS","","2026-09-13T15:10:06.1640972+09:00","2026-09-13T15:10:37.6432065+09:00","30","100","3000","0","0","3.355","6.811","48.836","78.448","REDIS","0.911","0","100","60","60","True","1","1","1","0","2900","15.108","ON","","results/environment.json"
"stage5-redis-cooldown-on-run-3-20260913-150257","redis-cooldown-on","3","9","SUCCESS","","2026-09-13T15:10:58.6069818+09:00","2026-09-13T15:11:30.0044435+09:00","30","100","3001","0","0","3.371","7.005","52.563","79.441","REDIS","0.973","0","100","60","60","True","1","1","1","0","2901","96.772","ON","","results/environment.json"
"stage5-redis-cooldown-off-run-3-20260913-150257","redis-cooldown-off","3","10","SUCCESS","","2026-09-13T15:11:53.7470689+09:00","2026-09-13T15:12:25.2440165+09:00","30","100","3001","0","0","4.329","45.53","74.911","161.8","REDIS","1.053","0","100","60","60","False","2902","2902","2902","0","0","16.459","ON","","results/environment.json"
